timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1617062400,7006882636,3856079.817,16363.69627,2870589.227,30794003.41
1616976000,6544712738,3880325.818,16146.49365,2887785.932,26635397.66
1616889600,6575026021,3837862.492,15578.42467,2871659.952,26014845.5
1616803200,6522052613,3838465.928,15498.53624,2879919.08,23311089.16
1616716800,6107031536,3844745.082,15037.16644,2898300.718,22678241.68
1616630400,6031793408,3806916.94,14459.45864,2867919.104,22637181.13
1616544000,6336299866,3793510.068,14449.22719,2868290.546,22285879.98
1616457600,6554682732,3888842.387,14385.99053,2979241.978,22266365.57
1616371200,6940688501,3888340.897,14530.68977,2981822.866,21956116.8
1616284800,7061905391,3913562.094,14243.0208,3019408.676,20929597.26
1616198400,7114558877,3930500.073,14352.05044,3028658.148,19866474.63
1616112000,7008932553,3944916.166,14275.26881,3031131.373,19352030.55
1616025600,7155447967,3923867.999,14099.76168,3028714.802,19336691.83
1615939200,6957071802,3854589.669,13962.36098,2992734.116,19267968.41
1615852800,6962924959,3886146.327,13903.57052,3005106.965,18973561.82
1615766400,7217510415,3903213.645,13855.07415,2994083.768,16178472.49
1615680000,7437048886,3870137.062,13751.6199,3005566.969,14976125.38
1615593600,6879556810,3893596.551,13671.43729,3003168.717,13742384.13
1615507200,7062493089,3865813.362,13558.13861,3004877.725,11692256.6
1615420800,6861867360,3819214.079,13482.39186,2954367.909,11998986.95
1615334400,7030655972,3758382.588,13419.80689,2945140.751,12011049.74
1615248000,6740069673,3681247.5,13411.85528,2852550.056,12156419.87
1615161600,6469060280,3750005.959,13284.88656,2897300.275,11458107.7
1615075200,6392911314,3871183.603,13573.45784,2956720.995,10467384.11
1614988800,6011137557,3931443.343,13687.74307,2960568.868,11231563.83
1614902400,6150042381,3994156.48,13673.77624,2985992.822,11078588.7
1614816000,6237858979,3969644.06,13525.01964,2953638.695,10818797.24
1614729600,5975900617,4009998.736,13940.17744,2960421.826,10507807.93
1614643200,6169797991,3928156.311,13697.09186,2964407.617,10178081.23
1614556800,5571529635,3924275.677,13891.38054,2966932.279,9993003.82
