f0_,Record Count,count
2015. 11. 13.,1,7891
2015. 11. 14.,1,7211
2015. 11. 15.,1,7170
2015. 11. 16.,1,7442
2015. 11. 17.,1,7145
2015. 11. 18.,1,7373
2015. 11. 19.,1,8876
2015. 11. 20.,1,6348
2015. 11. 21.,1,6822
2015. 11. 22.,1,7083
2015. 11. 23.,1,8260
2015. 11. 24.,1,7152
2015. 11. 25.,1,7098
2015. 11. 26.,1,7278
2015. 11. 27.,1,6639
2015. 11. 28.,1,6817
2015. 11. 29.,1,6853
2015. 11. 30.,1,8986
2015. 12. 1.,1,6794
2015. 12. 2.,1,6502
2015. 12. 3.,1,6971
2015. 12. 4.,1,6898
2015. 12. 5.,1,6784
2015. 12. 6.,1,9103
2015. 12. 7.,1,7141
2015. 12. 8.,1,6697
2015. 12. 9.,1,7001
2015. 12. 10.,1,7444
2015. 12. 11.,1,8105
2015. 12. 12.,1,8205
2015. 12. 13.,1,7426
2015. 12. 14.,1,15550
2015. 12. 15.,1,21098
2015. 12. 16.,1,10304
2015. 12. 17.,1,9612
2015. 12. 18.,1,9032
2015. 12. 19.,1,9314
2015. 12. 20.,1,9879
2015. 12. 21.,1,12063
2015. 12. 22.,1,21027
2015. 12. 23.,1,22740
2015. 12. 24.,1,13494
2015. 12. 25.,1,9521
2015. 12. 26.,1,10726
2015. 12. 27.,1,21867
2015. 12. 28.,1,12368
2015. 12. 29.,1,11358
2015. 12. 30.,1,21767
2015. 12. 31.,1,10301
2016. 1. 1.,1,8233
2016. 1. 2.,1,9164
2016. 1. 3.,1,9258
2016. 1. 4.,1,9474
2016. 1. 5.,1,16430
2016. 1. 6.,1,17074
2016. 1. 7.,1,22075
2016. 1. 8.,1,10919
2016. 1. 9.,1,11793
2016. 1. 10.,1,10320
2016. 1. 11.,1,10893
2016. 1. 12.,1,10862
2016. 1. 13.,1,17665
2016. 1. 14.,1,10653
2016. 1. 15.,1,9875
2016. 1. 16.,1,10664
2016. 1. 17.,1,9747
2016. 1. 18.,1,12916
2016. 1. 19.,1,13420
2016. 1. 20.,1,10610
2016. 1. 21.,1,10734
2016. 1. 22.,1,13848
2016. 1. 23.,1,11025
2016. 1. 24.,1,12798
2016. 1. 25.,1,17121
2016. 1. 26.,1,16511
2016. 1. 27.,1,18747
2016. 1. 28.,1,16765
2016. 1. 29.,1,16395
2016. 1. 30.,1,14661
2016. 1. 31.,1,14166
2016. 2. 1.,1,14199
2016. 2. 2.,1,14291
2016. 2. 3.,1,14274
2016. 2. 4.,1,14371
2016. 2. 5.,1,15249
2016. 2. 6.,1,31418
2016. 2. 7.,1,14264
2016. 2. 8.,1,14719
2016. 2. 9.,1,15517
2016. 2. 10.,1,17141
2016. 2. 11.,1,21440
2016. 2. 12.,1,18109
2016. 2. 13.,1,19327
2016. 2. 14.,1,16624
2016. 2. 15.,1,17159
2016. 2. 16.,1,17549
2016. 2. 17.,1,19990
2016. 2. 18.,1,16969
2016. 2. 19.,1,18412
2016. 2. 20.,1,16714
2016. 2. 21.,1,17119
2016. 2. 22.,1,18190
2016. 2. 23.,1,18482
2016. 2. 24.,1,19540
2016. 2. 25.,1,19503
2016. 2. 26.,1,21068
2016. 2. 27.,1,18981
2016. 2. 28.,1,19063
2016. 2. 29.,1,20358
2016. 3. 1.,1,21778
2016. 3. 2.,1,23562
2016. 3. 3.,1,24837
2016. 3. 4.,1,24287
2016. 3. 5.,1,27115
2016. 3. 6.,1,27661
2016. 3. 7.,1,23271
2016. 3. 8.,1,24105
2016. 3. 9.,1,24557
2016. 3. 10.,1,24814
2016. 3. 11.,1,23124
2016. 3. 12.,1,27887
2016. 3. 13.,1,28127
2016. 3. 14.,1,28528
2016. 3. 15.,1,29273
2016. 3. 16.,1,27596
2016. 3. 17.,1,33531
2016. 3. 18.,1,31821
2016. 3. 19.,1,34779
2016. 3. 20.,1,32447
2016. 3. 21.,1,32511
2016. 3. 22.,1,32890
2016. 3. 23.,1,31786
2016. 3. 24.,1,36947
2016. 3. 25.,1,36762
2016. 3. 26.,1,36646
2016. 3. 27.,1,29974
2016. 3. 28.,1,33613
2016. 3. 29.,1,33915
2016. 3. 30.,1,36767
2016. 3. 31.,1,32259
2016. 4. 1.,1,33320
2016. 4. 2.,1,29358
2016. 4. 3.,1,29588
2016. 4. 4.,1,34907
2016. 4. 5.,1,39173
2016. 4. 6.,1,32078
2016. 4. 7.,1,31893
2016. 4. 8.,1,34010
2016. 4. 9.,1,31923
2016. 4. 10.,1,32237
2016. 4. 11.,1,30327
2016. 4. 12.,1,34673
2016. 4. 13.,1,36051
2016. 4. 14.,1,34781
2016. 4. 15.,1,34959
2016. 4. 16.,1,30483
2016. 4. 17.,1,40203
2016. 4. 18.,1,33513
2016. 4. 19.,1,32622
2016. 4. 20.,1,32944
2016. 4. 21.,1,37181
2016. 4. 22.,1,31678
2016. 4. 23.,1,31845
2016. 4. 24.,1,34046
2016. 4. 25.,1,35430
2016. 4. 26.,1,32582
2016. 4. 27.,1,33847
2016. 4. 28.,1,34343
2016. 4. 29.,1,37332
2016. 4. 30.,1,45769
2016. 5. 1.,1,39578
2016. 5. 2.,1,41748
2016. 5. 3.,1,37821
2016. 5. 4.,1,37484
2016. 5. 5.,1,38707
2016. 5. 6.,1,41271
2016. 5. 7.,1,35864
2016. 5. 8.,1,40063
2016. 5. 9.,1,38560
2016. 5. 10.,1,40684
2016. 5. 11.,1,40811
2016. 5. 12.,1,45002
2016. 5. 13.,1,47739
2016. 5. 14.,1,45745
2016. 5. 15.,1,43073
2016. 5. 16.,1,37424
2016. 5. 17.,1,40309
2016. 5. 18.,1,46033
2016. 5. 19.,1,44523
2016. 5. 20.,1,45177
2016. 5. 21.,1,43621
2016. 5. 22.,1,38895
2016. 5. 23.,1,43806
2016. 5. 24.,1,42911
2016. 5. 25.,1,46443
2016. 5. 26.,1,51147
2016. 5. 27.,1,49006
2016. 5. 28.,1,70148
2016. 5. 29.,1,45890
2016. 5. 30.,1,42927
2016. 5. 31.,1,44386
2016. 6. 1.,1,42221
2016. 6. 2.,1,39666
2016. 6. 3.,1,39834
2016. 6. 4.,1,37875
2016. 6. 5.,1,37896
2016. 6. 6.,1,38957
2016. 6. 7.,1,46141
2016. 6. 8.,1,40433
2016. 6. 9.,1,39854
2016. 6. 10.,1,40145
2016. 6. 11.,1,36901
2016. 6. 12.,1,42581
2016. 6. 13.,1,46185
2016. 6. 14.,1,50335
2016. 6. 15.,1,43251
2016. 6. 16.,1,43392
2016. 6. 17.,1,66558
2016. 6. 18.,1,63083
2016. 6. 19.,1,51035
2016. 6. 20.,1,47118
2016. 6. 21.,1,47323
2016. 6. 22.,1,48615
2016. 6. 23.,1,41908
2016. 6. 24.,1,45331
2016. 6. 25.,1,36684
2016. 6. 26.,1,41613
2016. 6. 27.,1,39663
2016. 6. 28.,1,43089
2016. 6. 29.,1,49897
2016. 6. 30.,1,63952
2016. 7. 1.,1,40085
2016. 7. 2.,1,39257
2016. 7. 3.,1,39757
2016. 7. 4.,1,39950
2016. 7. 5.,1,39270
2016. 7. 6.,1,37900
2016. 7. 7.,1,40433
2016. 7. 8.,1,42506
2016. 7. 9.,1,40410
2016. 7. 10.,1,39358
2016. 7. 11.,1,38582
2016. 7. 12.,1,40811
2016. 7. 13.,1,35740
2016. 7. 14.,1,42809
2016. 7. 15.,1,41110
2016. 7. 16.,1,38062
2016. 7. 17.,1,33914
2016. 7. 18.,1,39198
2016. 7. 19.,1,44184
2016. 7. 20.,1,50631
2016. 7. 21.,1,44882
2016. 7. 22.,1,48458
2016. 7. 23.,1,45006
2016. 7. 24.,1,58215
2016. 7. 25.,1,54856
