f0_,count
2021. 6. 6.,1646
2021. 6. 7.,1448
2021. 6. 8.,1695
2021. 6. 9.,1562
2021. 6. 10.,1476
2021. 6. 11.,1394
2021. 6. 12.,1529
2021. 6. 13.,1473
2021. 6. 14.,1379
2021. 6. 15.,1341
2021. 6. 16.,1429
2021. 6. 17.,1767
2021. 6. 18.,1913
2021. 6. 19.,1753
2021. 6. 20.,1766
2021. 6. 21.,1761
2021. 6. 22.,1781
2021. 6. 23.,1566
2021. 6. 24.,1496
2021. 6. 25.,1270
2021. 6. 26.,1567
2021. 6. 27.,1483
2021. 6. 28.,1553
2021. 6. 29.,1489
2021. 6. 30.,1232
2021. 7. 1.,1473
2021. 7. 2.,1590
2021. 7. 3.,1740
2021. 7. 4.,1820
2021. 7. 5.,1776
2021. 7. 6.,1241
2021. 7. 7.,1026
2021. 7. 8.,1118
2021. 7. 9.,1196
2021. 7. 10.,1330
2021. 7. 11.,1284
2021. 7. 12.,1301
2021. 7. 13.,1029
2021. 7. 14.,933
2021. 7. 15.,827
2021. 7. 16.,919
2021. 7. 17.,1002
2021. 7. 18.,912
2021. 7. 19.,1091
2021. 7. 20.,1396
2021. 7. 21.,1345
2021. 7. 22.,1030
2021. 7. 23.,1099
2021. 7. 24.,1173
2021. 7. 25.,990
2021. 7. 26.,1312
2021. 7. 27.,1059
2021. 7. 28.,939
2021. 7. 29.,899
2021. 7. 30.,931
2021. 7. 31.,935
2021. 8. 1.,1058
2021. 8. 2.,833
2021. 8. 3.,829
2021. 8. 4.,960
2021. 8. 5.,928
2021. 8. 6.,1003
2021. 8. 7.,1096
2021. 8. 8.,1065
2021. 8. 9.,961
2021. 8. 10.,893
2021. 8. 11.,913
2021. 8. 12.,1015
2021. 8. 13.,858
2021. 8. 14.,935
2021. 8. 15.,440
